DRAMANAME,CATEGORY,UPLOAD_DATE,ARTIST,DRAMA_ROYALITY
"Tin Pondit",Single,"05-MAY-18 12.01.08.000000 PM",unmentioned,Drisshopot
"Thua Pore",Single,"05-MAY-18 12.00.41.000000 PM",unmentioned,"Thematic Ltd."
Poltibaz,Single,"05-MAY-18 12.00.15.000000 PM",unmentioned,"Live Technology"
"Kan Pora",Single,"05-MAY-18 11.59.57.000000 AM",unmentioned,Drisshopot
"Jete Pari Kintu Keno Jabo ",Single,"05-MAY-18 11.59.32.000000 AM",unmentioned,"Thematic Ltd."
"The Cow",Serial,"05-MAY-18 12.03.11.000000 PM",unmentioned,"Live Technology"
"R Matro Kota Din",Serial,"05-MAY-18 12.02.54.000000 PM",unmentioned,Drisshopot
"Nisshobdo Kobite",Serial,"05-MAY-18 12.02.30.000000 PM",unmentioned,"Thematic Ltd."
"Kajer Meye",Serial,"05-MAY-18 12.02.08.000000 PM",unmentioned,"Live Technology"
Chirkut,Serial,"05-MAY-18 12.01.40.000000 PM",unmentioned,Drisshopot
"Germophobic Man",Featured,"05-MAY-18 12.26.40.000000 PM",unmentioned,"Thematic Ltd."
420,Artist,"05-MAY-18 12.11.22.000000 PM","Ziaul Faruq Apurba","Thematic Ltd."
"Meghe Veja Rod",Artist,"05-MAY-18 12.10.06.000000 PM","Afzal Hossain","Live Technology"
Houseful,Artist,"05-MAY-18 12.08.44.000000 PM","Mosharraf Karim","Live Technology"
"Life is ColorfuL",Artist,"05-MAY-18 12.07.32.000000 PM","Chanchal Chowdhury",Drisshopot
Abaro,Artist,"05-MAY-18 12.06.44.000000 PM","Mir Sabbir","Thematic Ltd."
